City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
60,Saint-Philippe,RE,-21.3585,55.7679,74.21,83,3,2.59,clear sky,2022-05-01 19:39:35
61,Thompson,CA,55.7435,-97.8558,28.56,80,100,12.66,overcast clouds,2022-05-01 19:39:36
62,Mazamari,PE,-11.3258,-74.5308,84.22,58,80,2.39,broken clouds,2022-05-01 19:39:36
63,Hithadhoo,MV,-0.6,73.0833,85.66,70,100,15.61,overcast clouds,2022-05-01 19:39:37
64,Khani,GE,41.9563,42.9566,44.17,99,100,1.63,overcast clouds,2022-05-01 19:39:37
65,Constitucion,CL,-35.3333,-72.4167,58.17,63,99,13.6,overcast clouds,2022-05-01 19:38:58
66,Avarua,CK,-21.2078,-159.775,78.85,94,100,2.3,overcast clouds,2022-05-01 19:39:00
67,Shenjiamen,CN,29.9576,122.298,55.47,74,100,3.65,overcast clouds,2022-05-01 19:39:38
68,Tuktoyaktuk,CA,69.4541,-133.0374,35.6,75,0,8.05,clear sky,2022-05-01 19:39:38
69,Ribeira Grande,PT,38.5167,-28.7,64.8,77,75,3.44,broken clouds,2022-05-01 19:39:03
70,Lompoc,US,34.6391,-120.4579,72.84,63,0,25.99,clear sky,2022-05-01 19:39:39
71,Esperance,AU,-33.8667,121.9,53.44,69,0,5.75,clear sky,2022-05-01 19:36:37
72,Rassvet,RU,46.8333,40.75,54.34,59,100,3.8,overcast clouds,2022-05-01 19:39:39
73,Lebu,CL,-37.6167,-73.65,54.95,80,39,14.65,scattered clouds,2022-05-01 19:39:39
74,Bluff,NZ,-46.6,168.3333,44.8,85,14,10.07,few clouds,2022-05-01 19:39:40
75,Sulangan,PH,11.1373,123.7228,81.5,77,67,11.63,broken clouds,2022-05-01 19:39:40
76,Muros,ES,42.7762,-9.0603,57.83,68,10,9.08,clear sky,2022-05-01 19:39:41
77,Rio Branco,BR,-9.9747,-67.81,86.61,84,20,4.61,few clouds,2022-05-01 19:37:35
78,Lagoa,PT,39.05,-27.9833,62.67,73,13,1.57,few clouds,2022-05-01 19:39:41
79,Arraial Do Cabo,BR,-22.9661,-42.0278,84.16,74,0,14.97,clear sky,2022-05-01 19:39:02
80,Provideniya,RU,64.3833,-173.3,27.03,67,30,11.72,scattered clouds,2022-05-01 19:39:42
81,Khujner,IN,23.7833,76.6,92.77,22,4,20.36,clear sky,2022-05-01 19:39:42
82,Vardo,NO,70.3705,31.1107,17.58,86,20,4.61,few clouds,2022-05-01 19:39:42
83,Inawashiro,JP,37.5667,140.1167,38.77,96,58,5.5,broken clouds,2022-05-01 19:39:43
84,Vila Velha,BR,-20.3297,-40.2925,85.95,63,0,8.05,clear sky,2022-05-01 19:39:43
85,Mustasaari,FI,63.1142,21.6822,40.95,75,0,6.91,light rain,2022-05-01 19:39:44
86,Anadyr,RU,64.75,177.4833,16.3,85,0,2.24,clear sky,2022-05-01 19:39:44
87,Cabo San Lucas,MX,22.8909,-109.9124,82.62,47,40,5.75,scattered clouds,2022-05-01 19:39:13
88,Kropotkin,RU,45.4375,40.5756,50.0,94,100,11.59,light rain,2022-05-01 19:39:45
89,Placido De Castro,BR,-10.3353,-67.1856,87.64,56,100,2.15,overcast clouds,2022-05-01 19:39:45
90,Chilca,PE,-12.5211,-76.7372,66.76,85,88,6.08,overcast clouds,2022-05-01 19:39:46
91,Galesong,ID,-5.3166,119.3661,77.02,78,55,7.78,broken clouds,2022-05-01 19:39:46
92,Bhainsdehi,IN,21.6467,77.6325,87.04,22,20,9.13,few clouds,2022-05-01 19:39:46
93,Kimbe,PG,-5.5502,150.1429,74.88,93,16,2.64,few clouds,2022-05-01 19:39:47
94,Bathsheba,BB,13.2167,-59.5167,86.61,66,40,17.27,scattered clouds,2022-05-01 19:39:47
95,Nisia Floresta,BR,-6.0911,-35.2086,86.38,80,71,10.11,broken clouds,2022-05-01 19:39:48
96,Coquimbo,CL,-29.9533,-71.3436,62.33,72,0,8.05,clear sky,2022-05-01 19:39:48
97,Do Gonbadan,IR,30.3586,50.7981,71.69,49,0,0.0,clear sky,2022-05-01 19:39:49
98,Scottsbluff,US,41.8666,-103.6672,61.79,35,20,14.97,few clouds,2022-05-01 19:37:20
99,Ucluelet,CA,48.9329,-125.5528,53.91,80,100,1.99,overcast clouds,2022-05-01 19:39:49
100,Berlevag,NO,70.8578,29.0864,22.95,86,75,6.91,broken clouds,2022-05-01 19:39:50
101,Longyearbyen,SJ,78.2186,15.6401,13.84,67,75,5.75,light snow,2022-05-01 19:39:50
102,Ixtapa,MX,20.7,-105.2,78.03,73,75,16.11,broken clouds,2022-05-01 19:39:50
103,Lumsden,CA,50.6501,-104.8678,59.95,51,100,8.84,overcast clouds,2022-05-01 19:39:51
104,Gawler,AU,-34.6,138.7333,56.71,93,1,3.06,clear sky,2022-05-01 19:39:51
105,East London,ZA,-33.0153,27.9116,62.96,76,0,8.5,clear sky,2022-05-01 19:39:52
106,Baykit,RU,61.67,96.37,20.12,94,44,2.57,scattered clouds,2022-05-01 19:39:52
107,Port Alfred,ZA,-33.5906,26.891,58.17,91,2,1.99,clear sky,2022-05-01 19:39:52
108,Tabory,RU,58.5198,64.5495,38.21,85,98,5.64,overcast clouds,2022-05-01 19:39:53
109,Cururupu,BR,-1.8283,-44.8683,79.63,88,91,3.78,light rain,2022-05-01 19:39:53
110,Souillac,MU,-20.5167,57.5167,75.58,88,75,3.44,broken clouds,2022-05-01 19:39:54
111,Khalkhal,IR,37.6189,48.5258,46.58,89,100,3.94,overcast clouds,2022-05-01 19:39:54
112,Dikson,RU,73.5069,80.5464,7.54,99,100,11.05,overcast clouds,2022-05-01 19:39:54
113,Barsovo,RU,61.1667,73.1667,28.53,76,100,4.72,overcast clouds,2022-05-01 19:39:55
114,Mareeba,AU,-17.0,145.4333,68.72,95,69,1.3,broken clouds,2022-05-01 19:39:55
115,Roald,NO,62.5833,6.1333,47.34,76,75,19.57,broken clouds,2022-05-01 19:39:56
116,Puerto Escondido,MX,15.85,-97.0667,88.63,62,40,8.05,scattered clouds,2022-05-01 19:36:06
117,Riosucio,CO,5.4216,-75.7032,69.73,82,98,3.0,overcast clouds,2022-05-01 19:39:56
118,Juba,SS,4.8517,31.5825,72.95,84,76,3.02,moderate rain,2022-05-01 19:39:57
119,Ambilobe,MG,-13.2,49.05,73.63,96,65,2.98,broken clouds,2022-05-01 19:39:57
120,Tasiilaq,GL,65.6145,-37.6368,32.16,59,87,10.45,overcast clouds,2022-05-01 19:39:58
121,Los Alamos,US,35.8881,-106.307,75.43,9,0,11.99,clear sky,2022-05-01 19:37:35
122,Cherskiy,RU,68.75,161.3,20.43,87,18,8.41,few clouds,2022-05-01 19:39:58
123,Kuusamo,FI,65.9667,29.1833,32.04,80,100,3.44,overcast clouds,2022-05-01 19:39:59
124,Mogadishu,SO,2.0371,45.3438,83.46,76,100,14.74,light rain,2022-05-01 19:39:20
125,Villa San Giovanni,IT,38.2276,15.6386,63.28,64,0,5.75,clear sky,2022-05-01 19:37:25
126,Lorengau,PG,-2.0226,147.2712,80.58,81,73,5.77,broken clouds,2022-05-01 19:39:59
127,General Teran,MX,25.2667,-99.6833,96.39,34,29,19.19,scattered clouds,2022-05-01 19:40:00
128,Naze,JP,28.3667,129.4833,63.52,63,100,13.24,overcast clouds,2022-05-01 19:40:00
