City_ID,City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Hotel Name
155,155,Mecca,21.4267,39.8261,87.21,49,0,1.99,SA,2022-04-30 20:35:53,"Makkah Clock Royal Tower, A Fairmont Hotel"
157,157,Tiruchchendur,8.4833,78.1167,84.25,75,37,10.51,IN,2022-04-30 20:35:54,Hotel Udhayam International
161,161,Galesong,-5.3166,119.3661,75.22,82,72,4.14,ID,2022-04-30 20:35:55,Sapriadi Appy
163,163,Muisne,0.6,-80.0333,78.71,79,97,11.34,EC,2022-04-30 20:35:56,Quinta Samay
164,164,Sakakah,29.9697,40.2064,89.17,17,0,16.28,SA,2022-04-30 20:35:57,Fakhamat Al Orjoana Apartment
167,167,Faisalabad,31.4167,73.0833,87.31,22,0,7.94,PK,2022-04-30 20:32:33,Faisalabad Serena Hotel
168,168,Atar,20.5169,-13.0499,84.92,10,37,7.2,MR,2022-04-30 20:35:58,Oumou Elghoura
173,173,Sao Joao Da Barra,-21.6403,-41.0511,77.09,82,26,8.39,BR,2022-04-30 20:35:59,Pousada Porto De Canoas
180,180,Souillac,-20.5167,57.5167,77.38,83,40,8.05,MU,2022-04-30 20:29:39,Shanti Maurice Resort & Spa
187,187,Tuy Hoa,13.0833,109.3,75.81,92,100,3.02,VN,2022-04-30 20:36:03,CenDeluxe Hotel Tuy Hoa
190,190,Shenzhen,22.5455,114.0683,77.22,95,100,7.43,CN,2022-04-30 20:36:59,Grand Skylight
192,192,Yarada,17.65,83.2667,84.52,89,40,4.61,IN,2022-04-30 20:37:05,Yarada Jungle Beach Resorts
193,193,Cacoal,-11.4386,-61.4472,81.52,79,80,3.87,BR,2022-04-30 20:37:06,Hotel BR 364
199,199,Lodwar,3.1191,35.5973,86.04,52,100,14.72,KE,2022-04-30 20:37:08,Solmar Gracious Hotel
200,200,Tiarei,-17.5333,-149.3333,84.22,75,34,14.94,PF,2022-04-30 20:37:09,Le Rocher de Tahiti
202,202,Sabha,27.0377,14.4283,83.88,14,28,19.48,LY,2022-04-30 20:37:10,Foundation Taaj Asala for Historical Research and Archeology
204,204,Puri,19.8,85.85,84.72,90,10,20.45,IN,2022-04-30 20:37:11,OYO 1577 Hotel Shree Hari Grand
205,205,Kota Bahru,6.1333,102.2386,78.75,94,20,3.44,MY,2022-04-30 20:37:12,Grand Riverview Hotel
207,207,Kavaratti,10.5669,72.642,84.6,73,36,11.36,IN,2022-04-30 20:37:13,Hotels in Lakshadweep Islands
208,208,Sechura,-5.5569,-80.8222,79.41,56,89,11.16,PE,2022-04-30 20:37:13,Hospedaje Costa Bella
212,212,Awbari,26.5921,12.7805,82.9,11,3,15.08,LY,2022-04-30 20:37:15,فندق أوباري
220,220,Daru,-9.0763,143.2092,79.83,87,100,17.16,PG,2022-04-30 20:37:19,Daru Lodge
221,221,Lorengau,-2.0226,147.2712,81.16,77,100,1.61,PG,2022-04-30 20:37:19,Lorengau Harbourside Hotel
224,224,Sinnamary,5.3833,-52.95,80.53,76,59,9.1,GF,2022-04-30 20:37:20,ALETHEIA Appartement Sinnamary
231,231,Tautira,-17.7333,-149.15,79.9,74,47,12.95,PF,2022-04-30 20:37:23,Pension Oaoa
242,242,Victoria,22.2855,114.1577,77.32,86,100,15.01,HK,2022-04-30 20:37:48,Mini Hotel Central
243,243,San Policarpo,12.1791,125.5072,80.08,79,99,9.17,PH,2022-04-30 20:38:27,Agapita M. Nicart
245,245,Pochutla,15.7432,-96.4661,87.62,43,6,9.55,MX,2022-04-30 20:38:27,Hotel Posada San Jose
246,246,Hit,33.6416,42.8251,80.58,29,79,13.31,IQ,2022-04-30 20:38:28,بيت ابو رباح
250,250,Tual,-5.6667,132.75,83.88,73,84,15.12,ID,2022-04-30 20:38:29,Grand Vilia Hotel
253,253,The Valley,18.217,-63.0578,80.82,89,40,8.05,AI,2022-04-30 20:38:31,CeBlue Villas & Beach Resort
256,256,Pucallpa,-8.3791,-74.5539,86.04,66,75,9.22,PE,2022-04-30 20:38:32,Hotel Sol de Oriente - Pucallpa
262,262,Butaritari,3.0707,172.7902,80.89,82,82,13.65,KI,2022-04-30 20:38:34,Isles Sunset Lodge
263,263,Tutoia,-2.7619,-42.2744,78.15,88,62,6.46,BR,2022-04-30 20:38:35,Pousada Guará's
265,265,Redlands,34.0556,-117.1825,89.42,24,0,5.75,US,2022-04-30 20:35:47,Dynasty Suites Redlands
270,270,Kalmunai,7.4167,81.8167,80.96,83,34,3.91,LK,2022-04-30 20:38:37,VS Villa
273,273,Bengkulu,-3.8004,102.2655,75.72,90,91,5.59,ID,2022-04-30 20:38:38,Grage Hotel Bengkulu
275,275,Tessalit,20.1986,1.0114,84.38,9,0,8.5,ML,2022-04-30 20:38:39,Achemelmel
279,279,Russell,32.3502,-85.1999,87.08,48,40,9.22,US,2022-04-30 20:38:41,Macs
281,281,Olinda,-8.0089,-34.8553,78.53,78,75,12.66,BR,2022-04-30 20:38:41,Flat Quatro Rodas Olinda
283,283,Mutis,6.2262,-77.4044,82.56,80,93,8.86,CO,2022-04-30 20:39:42,Paraiso Escondido
285,285,Malakal,9.5334,31.6605,87.6,44,43,7.54,SS,2022-04-30 20:39:43,Nile Palace Hotel
288,288,Hirara,24.8,125.2833,75.49,87,100,15.66,JP,2022-04-30 20:39:44,Hotel Atoll Emerald Miyakojima
289,289,Cabo San Lucas,22.8909,-109.9124,86.61,41,40,8.05,MX,2022-04-30 20:29:52,Hotel Tesoro Los Cabos
293,293,Saint-Pierre,-21.3393,55.4781,76.68,83,75,3.44,RE,2022-04-30 20:39:46,Lindsey Hôtel
294,294,Mayumba,-3.432,10.6554,77.74,90,92,2.04,GA,2022-04-30 20:39:46,LIKWALE LODGE
295,295,Sabang,5.8933,95.3214,83.84,76,100,9.35,ID,2022-04-30 20:39:46,Hotel Citra
296,296,Mabaruma,8.2,-59.7833,81.99,68,93,8.05,GY,2022-04-30 20:39:47,Monty Brooms Guest House
300,300,Camapua,-19.5314,-54.0439,80.35,46,24,1.99,BR,2022-04-30 20:39:48,Comercial Estrela
303,303,Luanda,-8.8368,13.2343,80.6,78,40,6.91,AO,2022-04-30 20:39:49,EPIC SANA Luanda
307,307,Dicabisagan,17.0818,122.4157,77.95,87,78,4.88,PH,2022-04-30 20:39:51,Nancy Montanes Bernardo
312,312,Lahaina,20.8783,-156.6825,79.84,84,100,7.11,US,2022-04-30 20:39:52,Lahaina Shores Beach Resort
315,315,Hithadhoo,-0.6,73.0833,85.15,68,100,14.61,MV,2022-04-30 20:39:54,Scoop Guest House
319,319,Pedernales,18.0384,-71.744,79.11,74,73,4.74,DO,2022-04-30 20:39:56,Hotel Costa Marina
322,322,Namatanai,-3.6667,152.4333,79.75,81,83,2.84,PG,2022-04-30 20:39:57,Seagulls Inn Namatani
323,323,Bambous Virieux,-20.3428,57.7575,77.25,83,40,8.05,MU,2022-04-30 20:39:57,Casa Tia Villa
325,325,Allende,25.2833,-100.0167,88.99,34,3,6.96,MX,2022-04-30 20:39:58,Ecovergel Hotel Boutique
327,327,Kahului,20.8947,-156.47,78.82,71,40,18.41,US,2022-04-30 20:39:59,Maui Seaside Hotel
331,331,Lazaro Cardenas,17.9583,-102.2,83.57,52,45,10.98,MX,2022-04-30 20:41:01,HOTEL QUINTA ANTIGUA
332,332,Merauke,-8.4667,140.3333,79.39,86,100,12.77,ID,2022-04-30 20:41:01,Urum
334,334,Pakxan,18.3778,103.6601,75.25,90,100,2.53,LA,2022-04-30 20:41:02,Kong Kham Pheng Guesthouse
341,341,Mitsamiouli,-11.3847,43.2844,79.2,83,18,9.35,KM,2022-04-30 20:41:05,Foyer ADM
345,345,Qui Nhon,13.7667,109.2333,77.9,90,100,4.0,VN,2022-04-30 20:41:07,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
346,346,Brownfield,33.1812,-102.2744,77.4,10,0,6.2,US,2022-04-30 20:41:08,"Holiday Inn Express & Suites Brownfield, an IHG Hotel"
